COUNTY OF RESIDENCE:,TOTAL,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
ALAMANCE,"1,390",139,147,148,161,156,160,176,173,184,169,166,151
ALEXANDER,371,29,21,36,30,25,36,33,35,32,38,29,27
ALLEGHANY,110,8,7,13,9,7,13,7,7,10,10,9,10
ANSON,263,23,12,30,22,22,21,18,38,17,22,19,19
ASHE,211,16,13,21,17,12,23,15,17,18,18,14,27
AVERY,138,7,7,17,14,14,15,13,12,8,13,10,8
BEAUFORT,456,37,28,39,41,49,35,41,35,39,43,29,40
BERTIE,158,9,11,10,6,11,11,17,15,19,19,13,17
BLADEN,352,24,32,20,27,32,31,27,30,36,29,30,34
BRUNSWICK,"1,114",81,87,100,82,113,92,86,92,102,89,92,98
BUNCOMBE,"2,447",185,183,198,222,214,196,233,231,201,189,190,205
BURKE,884,71,71,74,68,61,61,91,88,63,77,84,75
CABARRUS,"2,684",205,180,210,229,220,262,246,233,209,219,229,242
CALDWELL,720,62,63,60,60,54,63,57,55,71,63,55,57
CAMDEN,82,8,4,5,3,5,7,10,6,7,11,9,7
CARTERET,494,32,41,42,40,39,42,42,45,41,39,48,43
CASWELL,184,20,19,14,12,18,14,14,17,21,14,14,7
CATAWBA,"1,674",119,128,146,129,156,146,148,141,153,140,143,125
CHATHAM,652,53,40,48,56,65,61,48,49,54,58,59,61
CHEROKEE,244,22,22,15,14,18,32,22,21,18,21,22,17
CHOWAN,147,13,8,12,14,13,11,13,19,9,9,21,5
CLAY,76,10,5,5,12,3,6,4,5,8,8,4,6
CLEVELAND,"1,160",87,91,95,82,92,99,109,97,113,99,102,94
COLUMBUS,608,42,43,57,55,38,49,43,62,54,58,40,67
CRAVEN,"1,235",89,92,91,110,93,100,103,117,125,111,110,94
CUMBERLAND,"5,239",412,404,439,408,392,451,455,478,464,462,408,466
CURRITUCK,340,22,19,32,34,31,29,31,38,29,25,16,34
DARE,295,24,11,25,25,25,28,29,23,26,18,27,34
DAVIDSON,"1,792",141,138,135,138,151,134,157,169,172,146,157,154
DAVIE,412,30,29,38,32,36,43,40,37,28,36,33,30
DUPLIN,725,50,55,55,52,53,59,70,59,77,52,63,80
DURHAM,"4,245",308,325,326,351,357,361,377,400,355,355,350,380
EDGECOMBE,610,39,36,48,46,38,52,53,57,60,54,57,70
FORSYTH,"4,437",338,326,368,358,375,398,400,376,389,383,356,370
FRANKLIN,809,70,55,57,63,61,70,65,68,72,86,62,80
GASTON,"2,684",223,209,224,191,204,216,236,253,234,221,230,243
GATES,96,12,10,8,4,6,5,8,8,4,7,12,12
GRAHAM,91,8,7,5,3,8,12,3,11,6,14,10,4
GRANVILLE,655,50,32,57,56,43,57,55,63,66,64,58,54
GREENE,193,19,11,13,14,12,20,6,20,19,16,21,22
GUILFORD,"5,794",487,413,419,498,491,458,467,523,508,559,478,493
HALIFAX,541,39,39,39,45,42,46,44,48,46,54,51,48
HARNETT,"1,872",143,167,158,145,128,170,145,139,176,156,161,184
HAYWOOD,521,36,40,49,40,39,43,48,46,43,61,38,38
HENDERSON,998,77,82,83,77,65,87,72,115,74,88,96,82
HERTFORD,173,16,11,15,8,15,20,12,20,14,15,18,9
HOKE,965,60,76,93,73,77,84,83,92,74,83,77,93
